"codendereco","rua","modulo","posicao","tipo"
"05-06-07","05","06","07",COLEÇÃO
"05-06-08","05","06","08",COLEÇÃO
"05-06-09","05","06","09",COLEÇÃO
"05-06-10","05","06","10",COLEÇÃO
"05-06-11","05","06","11",COLEÇÃO
"05-06-12","05","06","12",COLEÇÃO
"05-06-13","05","06","13",COLEÇÃO
"05-06-14","05","06","14",COLEÇÃO
"05-06-15","05","06","15",COLEÇÃO
"05-06-16","05","06","16",COLEÇÃO
"05-06-17","05","06","17",COLEÇÃO
"05-06-18","05","06","18",COLEÇÃO
"05-06-19","05","06","19",COLEÇÃO
"05-06-20","05","06","20",COLEÇÃO
"05-06-21","05","06","21",COLEÇÃO
"05-06-22","05","06","22",COLEÇÃO
"05-06-23","05","06","23",COLEÇÃO
"05-06-24","05","06","24",COLEÇÃO
"05-07-01","05","07","01",COLEÇÃO
"05-07-02","05","07","02",COLEÇÃO
"05-07-03","05","07","03",COLEÇÃO
"05-07-04","05","07","04",COLEÇÃO
"05-07-05","05","07","05",COLEÇÃO
"05-07-06","05","07","06",COLEÇÃO
"05-07-07","05","07","07",COLEÇÃO
"05-07-08","05","07","08",COLEÇÃO
"05-07-09","05","07","09",COLEÇÃO
"05-07-10","05","07","10",COLEÇÃO
"05-07-11","05","07","11",COLEÇÃO
"05-07-12","05","07","12",COLEÇÃO
"05-07-13","05","07","13",COLEÇÃO
"05-07-14","05","07","14",COLEÇÃO
"05-07-15","05","07","15",COLEÇÃO
"05-07-16","05","07","16",COLEÇÃO
"05-07-17","05","07","17",COLEÇÃO
"05-07-18","05","07","18",COLEÇÃO
"05-07-19","05","07","19",COLEÇÃO
"05-07-20","05","07","20",COLEÇÃO
"05-07-21","05","07","21",COLEÇÃO
"05-07-22","05","07","22",COLEÇÃO
"05-07-23","05","07","23",COLEÇÃO
"05-07-24","05","07","24",COLEÇÃO
"05-08-01","05","08","01",COLEÇÃO
"05-08-02","05","08","02",COLEÇÃO
"05-08-03","05","08","03",COLEÇÃO
"05-08-04","05","08","04",COLEÇÃO
"05-08-05","05","08","05",COLEÇÃO
"05-08-06","05","08","06",COLEÇÃO
"05-08-07","05","08","07",COLEÇÃO
"05-08-08","05","08","08",COLEÇÃO
"05-08-09","05","08","09",COLEÇÃO
"05-08-10","05","08","10",COLEÇÃO
"05-08-11","05","08","11",COLEÇÃO
"05-08-12","05","08","12",COLEÇÃO
"05-08-13","05","08","13",COLEÇÃO
"05-08-14","05","08","14",COLEÇÃO
"05-08-15","05","08","15",COLEÇÃO
"05-08-16","05","08","16",COLEÇÃO
"05-08-17","05","08","17",COLEÇÃO
"05-08-18","05","08","18",COLEÇÃO
"05-08-19","05","08","19",COLEÇÃO
"05-08-20","05","08","20",COLEÇÃO
"05-08-21","05","08","21",COLEÇÃO
"05-08-22","05","08","22",COLEÇÃO
"05-08-23","05","08","23",COLEÇÃO
"05-08-24","05","08","24",COLEÇÃO
"05-09-01","05","09","01",COLEÇÃO
"05-09-02","05","09","02",COLEÇÃO
"05-09-03","05","09","03",COLEÇÃO
"05-09-04","05","09","04",COLEÇÃO
"05-09-05","05","09","05",COLEÇÃO
"05-09-06","05","09","06",COLEÇÃO
"05-09-07","05","09","07",COLEÇÃO
"05-09-08","05","09","08",COLEÇÃO
"05-09-09","05","09","09",COLEÇÃO
"05-09-10","05","09","10",COLEÇÃO
"05-09-11","05","09","11",COLEÇÃO
"05-09-12","05","09","12",COLEÇÃO
"05-09-13","05","09","13",COLEÇÃO
"05-09-14","05","09","14",COLEÇÃO
"05-09-15","05","09","15",COLEÇÃO
"05-09-16","05","09","16",COLEÇÃO
"05-09-17","05","09","17",COLEÇÃO
"05-09-18","05","09","18",COLEÇÃO
"05-09-19","05","09","19",COLEÇÃO
"05-09-20","05","09","20",COLEÇÃO
"05-09-21","05","09","21",COLEÇÃO
"05-09-22","05","09","22",COLEÇÃO
"05-09-23","05","09","23",COLEÇÃO
"05-09-24","05","09","24",COLEÇÃO
"05-10-01","05","10","01",COLEÇÃO
"05-10-02","05","10","02",COLEÇÃO
"05-10-03","05","10","03",COLEÇÃO
"05-10-04","05","10","04",COLEÇÃO
"05-10-05","05","10","05",COLEÇÃO
"05-10-06","05","10","06",COLEÇÃO
"05-10-07","05","10","07",COLEÇÃO
"05-10-08","05","10","08",COLEÇÃO
"05-10-09","05","10","09",COLEÇÃO
"05-10-10","05","10","10",COLEÇÃO
"05-10-11","05","10","11",COLEÇÃO
"05-10-12","05","10","12",COLEÇÃO
"05-10-13","05","10","13",COLEÇÃO
"05-10-14","05","10","14",COLEÇÃO
"05-10-15","05","10","15",COLEÇÃO
"05-10-16","05","10","16",COLEÇÃO
"05-10-17","05","10","17",COLEÇÃO
"05-10-18","05","10","18",COLEÇÃO
"05-10-19","05","10","19",COLEÇÃO
"05-10-20","05","10","20",COLEÇÃO
"05-10-21","05","10","21",COLEÇÃO
"05-10-22","05","10","22",COLEÇÃO
"05-10-23","05","10","23",COLEÇÃO
"05-10-24","05","10","24",COLEÇÃO
"05-11-01","05","11","01",COLEÇÃO
"05-11-02","05","11","02",COLEÇÃO
"05-11-03","05","11","03",COLEÇÃO
"05-11-04","05","11","04",COLEÇÃO
"05-11-05","05","11","05",COLEÇÃO
"05-11-06","05","11","06",COLEÇÃO
"05-11-07","05","11","07",COLEÇÃO
"05-11-08","05","11","08",COLEÇÃO
"05-11-09","05","11","09",COLEÇÃO
"05-11-10","05","11","10",COLEÇÃO
"05-11-11","05","11","11",COLEÇÃO
"05-11-12","05","11","12",COLEÇÃO
"05-11-13","05","11","13",COLEÇÃO
"05-11-14","05","11","14",COLEÇÃO
"05-11-15","05","11","15",COLEÇÃO
"05-11-16","05","11","16",COLEÇÃO
"05-11-17","05","11","17",COLEÇÃO
"05-11-18","05","11","18",COLEÇÃO
"05-11-19","05","11","19",COLEÇÃO
"05-11-20","05","11","20",COLEÇÃO
"05-11-21","05","11","21",COLEÇÃO
"05-11-22","05","11","22",COLEÇÃO
"05-11-23","05","11","23",COLEÇÃO
"05-11-24","05","11","24",COLEÇÃO
"05-12-01","05","12","01",COLEÇÃO
"05-12-02","05","12","02",COLEÇÃO
"05-12-03","05","12","03",COLEÇÃO
"05-12-04","05","12","04",COLEÇÃO
"05-12-05","05","12","05",COLEÇÃO
"05-12-06","05","12","06",COLEÇÃO
"05-12-07","05","12","07",COLEÇÃO
"05-12-08","05","12","08",COLEÇÃO
"05-12-09","05","12","09",COLEÇÃO
"05-12-10","05","12","10",COLEÇÃO
"05-12-11","05","12","11",COLEÇÃO
"05-12-12","05","12","12",COLEÇÃO
"05-12-13","05","12","13",COLEÇÃO
"05-12-14","05","12","14",COLEÇÃO
"05-12-15","05","12","15",COLEÇÃO
"05-12-16","05","12","16",COLEÇÃO
"05-12-17","05","12","17",COLEÇÃO
"05-12-18","05","12","18",COLEÇÃO
"05-12-19","05","12","19",COLEÇÃO
"05-12-20","05","12","20",COLEÇÃO
"05-12-21","05","12","21",COLEÇÃO
"05-12-22","05","12","22",COLEÇÃO
"05-12-23","05","12","23",COLEÇÃO
"05-12-24","05","12","24",COLEÇÃO
"05-13-01","05","13","01",COLEÇÃO
"05-13-02","05","13","02",COLEÇÃO
"05-13-03","05","13","03",COLEÇÃO
"05-13-04","05","13","04",COLEÇÃO
"05-13-05","05","13","05",COLEÇÃO
"05-13-06","05","13","06",COLEÇÃO
"05-13-07","05","13","07",COLEÇÃO
"05-13-08","05","13","08",COLEÇÃO
"05-13-09","05","13","09",COLEÇÃO
"05-13-10","05","13","10",COLEÇÃO
"05-13-11","05","13","11",COLEÇÃO
"05-13-12","05","13","12",COLEÇÃO
"05-13-13","05","13","13",COLEÇÃO
"05-13-14","05","13","14",COLEÇÃO
"05-13-15","05","13","15",COLEÇÃO
"05-13-16","05","13","16",COLEÇÃO
"05-13-17","05","13","17",COLEÇÃO
"05-13-18","05","13","18",COLEÇÃO
"05-13-19","05","13","19",COLEÇÃO
"05-13-20","05","13","20",COLEÇÃO
"05-13-21","05","13","21",COLEÇÃO
"05-13-22","05","13","22",COLEÇÃO
"05-13-23","05","13","23",COLEÇÃO
"05-13-24","05","13","24",COLEÇÃO
"05-14-01","05","14","01",COLEÇÃO
"05-14-02","05","14","02",COLEÇÃO
"05-14-03","05","14","03",COLEÇÃO
"05-14-04","05","14","04",COLEÇÃO
"05-14-05","05","14","05",COLEÇÃO
"05-14-06","05","14","06",COLEÇÃO
"05-14-07","05","14","07",COLEÇÃO
"05-14-08","05","14","08",COLEÇÃO
"05-14-09","05","14","09",COLEÇÃO
"05-14-10","05","14","10",COLEÇÃO
"05-14-11","05","14","11",COLEÇÃO
"05-14-12","05","14","12",COLEÇÃO
"05-14-13","05","14","13",COLEÇÃO
"05-14-14","05","14","14",COLEÇÃO
"05-14-15","05","14","15",COLEÇÃO
"05-14-16","05","14","16",COLEÇÃO
"05-14-17","05","14","17",COLEÇÃO
"05-14-18","05","14","18",COLEÇÃO
"05-14-19","05","14","19",COLEÇÃO
"05-14-20","05","14","20",COLEÇÃO
"05-14-21","05","14","21",COLEÇÃO
"05-14-22","05","14","22",COLEÇÃO
"05-14-23","05","14","23",COLEÇÃO
"05-14-24","05","14","24",COLEÇÃO
"05-15-01","05","15","01",COLEÇÃO
"05-15-02","05","15","02",COLEÇÃO
"05-15-03","05","15","03",COLEÇÃO
"05-15-04","05","15","04",COLEÇÃO
"05-15-05","05","15","05",COLEÇÃO
"05-15-06","05","15","06",COLEÇÃO
"05-15-07","05","15","07",COLEÇÃO
"05-15-08","05","15","08",COLEÇÃO
"05-15-09","05","15","09",COLEÇÃO
"05-15-10","05","15","10",COLEÇÃO
"05-15-11","05","15","11",COLEÇÃO
"05-15-12","05","15","12",COLEÇÃO
"05-15-13","05","15","13",COLEÇÃO
"05-15-14","05","15","14",COLEÇÃO
"05-15-15","05","15","15",COLEÇÃO
