"codendereco","rua","modulo","posicao","tipo"
"02-01-11","02","01","11",COLEÇÃO
"02-07-05","02","07","05",COLEÇÃO
"02-05-13","02","05","13",COLEÇÃO
"02-05-14","02","05","14",COLEÇÃO
"02-05-15","02","05","15",COLEÇÃO
"02-05-16","02","05","16",COLEÇÃO
"02-05-17","02","05","17",COLEÇÃO
"02-08-05","02","08","05",COLEÇÃO
"02-08-06","02","08","06",COLEÇÃO
"02-08-07","02","08","07",COLEÇÃO
"02-08-08","02","08","08",COLEÇÃO
"02-08-09","02","08","09",COLEÇÃO
"02-09-01","02","09","01",COLEÇÃO
"02-09-02","02","09","02",COLEÇÃO
"02-09-03","02","09","03",COLEÇÃO
"02-09-04","02","09","04",COLEÇÃO
"02-06-10","02","06","10",COLEÇÃO
"02-06-11","02","06","11",COLEÇÃO
"02-06-12","02","06","12",COLEÇÃO
"02-06-13","02","06","13",COLEÇÃO
"02-06-14","02","06","14",COLEÇÃO
"02-06-15","02","06","15",COLEÇÃO
"02-06-16","02","06","16",COLEÇÃO
"02-06-17","02","06","17",COLEÇÃO
"02-09-05","02","09","05",COLEÇÃO
"02-09-06","02","09","06",COLEÇÃO
"02-09-07","02","09","07",COLEÇÃO
"02-09-08","02","09","08",COLEÇÃO
"02-09-09","02","09","09",COLEÇÃO
"03-01-01","03","01","01",COLEÇÃO
"03-01-02","03","01","02",COLEÇÃO
"03-01-03","03","01","03",COLEÇÃO
"03-03-06","03","03","06",COLEÇÃO
"03-02-17","03","02","17",COLEÇÃO
"03-03-07","03","03","07",COLEÇÃO
"03-03-08","03","03","08",COLEÇÃO
"03-03-09","03","03","09",COLEÇÃO
"03-04-01","03","04","01",COLEÇÃO
"03-04-02","03","04","02",COLEÇÃO
"03-04-03","03","04","03",COLEÇÃO
"03-04-04","03","04","04",COLEÇÃO
"03-04-05","03","04","05",COLEÇÃO
"03-04-06","03","04","06",COLEÇÃO
"03-03-10","03","03","10",COLEÇÃO
"03-03-11","03","03","11",COLEÇÃO
"03-03-12","03","03","12",COLEÇÃO
"03-03-13","03","03","13",COLEÇÃO
"03-03-14","03","03","14",COLEÇÃO
"03-03-15","03","03","15",COLEÇÃO
"03-03-16","03","03","16",COLEÇÃO
"03-03-17","03","03","17",COLEÇÃO
"03-04-07","03","04","07",COLEÇÃO
"03-04-08","03","04","08",COLEÇÃO
"03-04-09","03","04","09",COLEÇÃO
"04-03-05","04","03","05",COLEÇÃO
"04-03-06","04","03","06",COLEÇÃO
"04-04-01","04","04","01",COLEÇÃO
"04-04-02","04","04","02",COLEÇÃO
"04-04-03","04","04","03",COLEÇÃO
"04-04-04","04","04","04",COLEÇÃO
"03-04-10","03","04","10",COLEÇÃO
"03-04-11","03","04","11",COLEÇÃO
"03-04-12","03","04","12",COLEÇÃO
"03-04-13","03","04","13",COLEÇÃO
"03-04-14","03","04","14",COLEÇÃO
"03-04-15","03","04","15",COLEÇÃO
"03-04-16","03","04","16",COLEÇÃO
"03-04-17","03","04","17",COLEÇÃO
"04-04-05","04","04","05",COLEÇÃO
"04-04-06","04","04","06",COLEÇÃO
"04-05-01","04","05","01",COLEÇÃO
"04-05-02","04","05","02",COLEÇÃO
"04-05-03","04","05","03",COLEÇÃO
"04-05-04","04","05","04",COLEÇÃO
"04-05-05","04","05","05",COLEÇÃO
"04-05-06","04","05","06",COLEÇÃO
"04-06-01","04","06","01",COLEÇÃO
"03-05-10","03","05","10",COLEÇÃO
"03-05-11","03","05","11",COLEÇÃO
"03-05-12","03","05","12",COLEÇÃO
"03-05-13","03","05","13",COLEÇÃO
"03-05-14","03","05","14",COLEÇÃO
"03-05-15","03","05","15",COLEÇÃO
"03-05-16","03","05","16",COLEÇÃO
"03-05-17","03","05","17",COLEÇÃO
"04-06-02","04","06","02",COLEÇÃO
"04-06-03","04","06","03",COLEÇÃO
"04-06-04","04","06","04",COLEÇÃO
"04-06-05","04","06","05",COLEÇÃO
"04-06-06","04","06","06",COLEÇÃO
"04-07-01","04","07","01",COLEÇÃO
"04-07-02","04","07","02",COLEÇÃO
"04-07-03","04","07","03",COLEÇÃO
"03-06-10","03","06","10",COLEÇÃO
"03-06-11","03","06","11",COLEÇÃO
"03-06-12","03","06","12",COLEÇÃO
"03-06-13","03","06","13",COLEÇÃO
"03-06-14","03","06","14",COLEÇÃO
"03-06-15","03","06","15",COLEÇÃO
"03-06-16","03","06","16",COLEÇÃO
"03-06-17","03","06","17",COLEÇÃO
"04-07-04","04","07","04",COLEÇÃO
"04-07-05","04","07","05",COLEÇÃO
"04-07-06","04","07","06",COLEÇÃO
"04-08-01","04","08","01",COLEÇÃO
"04-08-02","04","08","02",COLEÇÃO
"04-08-03","04","08","03",COLEÇÃO
"04-08-04","04","08","04",COLEÇÃO
"04-08-05","04","08","05",COLEÇÃO
"04-08-06","04","08","06",COLEÇÃO
"03-07-10","03","07","10",COLEÇÃO
"03-07-11","03","07","11",COLEÇÃO
"03-07-12","03","07","12",COLEÇÃO
"03-07-13","03","07","13",COLEÇÃO
"03-07-14","03","07","14",COLEÇÃO
"03-07-15","03","07","15",COLEÇÃO
"03-07-16","03","07","16",COLEÇÃO
"03-07-17","03","07","17",COLEÇÃO
"04-09-01","04","09","01",COLEÇÃO
"04-09-02","04","09","02",COLEÇÃO
"04-09-03","04","09","03",COLEÇÃO
"04-09-04","04","09","04",COLEÇÃO
"04-09-05","04","09","05",COLEÇÃO
"04-09-06","04","09","06",COLEÇÃO
"05-01-01","05","01","01",COLEÇÃO
"05-01-02","05","01","02",COLEÇÃO
"05-01-03","05","01","03",COLEÇÃO
"03-08-10","03","08","10",COLEÇÃO
"06-08-11","06","08","11",COLEÇÃO
"06-08-12","06","08","12",COLEÇÃO
"06-08-13","06","08","13",COLEÇÃO
"06-08-14","06","08","14",COLEÇÃO
"06-08-15","06","08","15",COLEÇÃO
"06-08-16","06","08","16",COLEÇÃO
"06-08-17","06","08","17",COLEÇÃO
"06-09-10","06","09","10",COLEÇÃO
"06-09-11","06","09","11",COLEÇÃO
"06-09-12","06","09","12",COLEÇÃO
"06-09-13","06","09","13",COLEÇÃO
"06-09-14","06","09","14",COLEÇÃO
"06-09-15","06","09","15",COLEÇÃO
"06-09-16","06","09","16",COLEÇÃO
"06-09-17","06","09","17",COLEÇÃO
"07-01-10","07","01","10",COLEÇÃO
"02-01-10","02","01","10",COLEÇÃO
"02-07-06","02","07","06",COLEÇÃO
"02-07-08","02","07","08",COLEÇÃO
"02-08-01","02","08","01",COLEÇÃO
"02-08-02","02","08","02",COLEÇÃO
"02-08-03","02","08","03",COLEÇÃO
"02-08-04","02","08","04",COLEÇÃO
"02-05-11","02","05","11",COLEÇÃO
"02-05-12","02","05","12",COLEÇÃO
"07-01-11","07","01","11",COLEÇÃO
"07-01-12","07","01","12",COLEÇÃO
"07-01-13","07","01","13",COLEÇÃO
"07-01-14","07","01","14",COLEÇÃO
"07-01-15","07","01","15",COLEÇÃO
"07-01-16","07","01","16",COLEÇÃO
"07-01-17","07","01","17",COLEÇÃO
"07-02-10","07","02","10",COLEÇÃO
"07-02-11","07","02","11",COLEÇÃO
"07-02-12","07","02","12",COLEÇÃO
"07-02-13","07","02","13",COLEÇÃO
"07-02-14","07","02","14",COLEÇÃO
"07-02-15","07","02","15",COLEÇÃO
"07-02-16","07","02","16",COLEÇÃO
"07-02-17","07","02","17",COLEÇÃO
"10-02-08","10","02","08",COLEÇÃO
"10-02-09","10","02","09",COLEÇÃO
"10-03-01","10","03","01",COLEÇÃO
"10-03-02","10","03","02",COLEÇÃO
"10-03-03","10","03","03",COLEÇÃO
"10-03-04","10","03","04",COLEÇÃO
"10-03-05","10","03","05",COLEÇÃO
"10-03-06","10","03","06",COLEÇÃO
"10-03-07","10","03","07",COLEÇÃO
"10-03-08","10","03","08",COLEÇÃO
"10-03-09","10","03","09",COLEÇÃO
"10-04-01","10","04","01",COLEÇÃO
"10-04-02","10","04","02",COLEÇÃO
"10-04-03","10","04","03",COLEÇÃO
"10-04-04","10","04","04",COLEÇÃO
"10-04-05","10","04","05",COLEÇÃO
"10-04-06","10","04","06",COLEÇÃO
"10-04-07","10","04","07",COLEÇÃO
"10-04-08","10","04","08",COLEÇÃO
"10-04-09","10","04","09",COLEÇÃO
"10-05-01","10","05","01",COLEÇÃO
"10-05-02","10","05","02",COLEÇÃO
"10-05-03","10","05","03",COLEÇÃO
"10-05-04","10","05","04",COLEÇÃO
"10-05-05","10","05","05",COLEÇÃO
"10-05-06","10","05","06",COLEÇÃO
"10-05-07","10","05","07",COLEÇÃO
"10-05-08","10","05","08",COLEÇÃO
"10-05-09","10","05","09",COLEÇÃO
"10-06-01","10","06","01",COLEÇÃO
"10-06-02","10","06","02",COLEÇÃO
"10-06-03","10","06","03",COLEÇÃO
"10-06-04","10","06","04",COLEÇÃO
