"usuario","codbarrastag","codreduzido","Endereco","engenharia","DataReposicao","EngenhariaPai","descricao","epc","StatusEndereco","numeroop","cor","tamanho","totalop","situacaoinventario"
"9002","01000062075805000031","620758","01-58-06","010242204-0","2023-06-28 22:27:48",,CAMISA MC REGUL ITALIAN MICROGRID PLUS XG BRANCO,"3035E2C81C0D5B0000000163",,"115846-001","201-BRANCO",XG,"119",OK
"9002","01000064483801000018","644838","01-58-06","010242203-0","2023-06-28 22:27:48",,CAMISA MC REGULAR AMER DIF LINHO PLUS XGG FOSSIL,,,"107044-001","212-FOSSIL",XGG,"0",OK
"9002","01000065467501000048","654675","01-58-06","010242203-0","2023-06-28 22:27:48",,CAMISA MC REGULAR AMER DIF LINHO PLUS XGG CHA,"3035E2C81C0D4BC00000022D",,"114082-001","115-CHA",XGG,"278",OK
"2452","01000064920903000265","649209","09-03-09","010243145-0","2023-06-14 13:35:50",,POLO MC SLIM MPIQUET KHAKI CB M NUVEM,"3035E2C81C1F43000000001A",,"112574-001","113",M,"49",
"2449","01000066901705000126","669017","06-58-19","010465201-0","2023-06-27 17:02:02",,CAMISA MC SLIM DIFERENCIADA IVORY GG SONHO,"3035E2C81C2666C00000012E",,"120686-001","606",GG,"285",
"9002","01000062433702000037","624337","01-52-02","010242277-0","2023-06-28 15:08:40",,CAMISA ML SLIM AMERICANA ESTAMP PONT M GUACHE,"3035E2C81C105C80000000A4",,"112786-001","216",M,"192",
"2410","01000062257206000117","622572","02-46-18","010460515-0","2023-06-28 11:22:22",,SHORT LINHO PACO JEANS 79 XG MEL,"3035E2C3F41996C00000054C",,"106087-001","925",XG,"238",
"2410","01000062257006000351","622570","02-46-18","010460515-0","2023-06-28 11:22:22",,SHORT LINHO PACO JEANS 79 XG GUACHE,"3035E2C3F41996C000000AAB",,"113283-001","216",XG,"479",
"2410","01000062256706000879","622567","02-46-18","010460515-0","2023-06-28 11:22:22",,SHORT LINHO PACO JEANS 79 XG LINHO,"3035E2C3F41996C0000009FB",,"113283-001","412",XG,"479",
"2410","01000062257206000345","622572","02-46-18","010460515-0","2023-06-28 11:22:22",,SHORT LINHO PACO JEANS 79 XG MEL,"3035E2C3F41996C000000B61",,"113283-001","925",XG,"479",
"2410","01000062256706000633","622567","02-46-18","010460515-0","2023-06-28 11:22:22",,SHORT LINHO PACO JEANS 79 XG LINHO,"3035E2C3F41996C0000009E3",,"113283-001","412",XG,"479",
"2410","01000062257206000337","622572","02-46-18","010460515-0","2023-06-28 11:22:22",,SHORT LINHO PACO JEANS 79 XG MEL,"3035E2C3F41996C000000B60",,"113283-001","925",XG,"479",
"2410","01000062256706000625","622567","02-46-18","010460515-0","2023-06-28 11:22:22",,SHORT LINHO PACO JEANS 79 XG LINHO,"3035E2C3F41996C0000009E2",,"113283-001","412",XG,"479",
"2410","01000062256706000934","622567","02-46-18","010460515-0","2023-06-28 11:22:22",,SHORT LINHO PACO JEANS 79 XG LINHO,"3035E2C3F41996C000000B72",,"113283-001","412",XG,"479",
"2410","01000062257206000264","622572","02-46-18","010460515-0","2023-06-28 11:22:22",,SHORT LINHO PACO JEANS 79 XG MEL,"3035E2C3F41996C0000006D1",,"108274-001","925",XG,"170",
"2410","01000062257406000012","622574","02-46-18","010460515-0","2023-06-28 11:22:22",,SHORT LINHO PACO JEANS 79 XG COURO,"3035E2C3F41996C000000436",,"104756-001","712",XG,"291",
"2410","01000062257206000094","622572","02-46-18","010460515-0","2023-06-28 11:22:22",,SHORT LINHO PACO JEANS 79 XG MEL,"3035E2C3F41996C0000003EF",,"104756-001","925",XG,"291",
"2410","01000062256706000536","622567","02-46-18","010460515-0","2023-06-28 11:22:22",,SHORT LINHO PACO JEANS 79 XG LINHO,"3035E2C3F41996C0000009D9",,"113283-001","412",XG,"479",
"9002","01000062433702000053","624337","01-52-02","010242277-0","2023-06-28 15:08:40",,CAMISA ML SLIM AMERICANA ESTAMP PONT M GUACHE,"3035E2C81C105C80000000A6",,"112786-001","216",M,"192",
"2449","01000066816804000727","668168","06-31-08","010465134-0","2023-06-26 10:53:16",,POLO MC SLIM DIFERENCIADA THRILLS,"3035E2C81C2B3600000000D3",,"120684-001","110",G,"245",
"2449","01000066816804000361","668168","06-31-08","010465134-0","2023-06-26 10:53:21",,POLO MC SLIM DIFERENCIADA THRILLS,"3035E2C81C2B3600000000AF",,"120684-001","110",G,"245",
"2449","01000066816804000743","668168","06-31-08","010465134-0","2023-06-26 10:53:24",,POLO MC SLIM DIFERENCIADA THRILLS,"3035E2C81C2B3600000000D5",,"120684-001","110",G,"245",
"2449","01000066816804000785","668168","06-31-08","010465134-0","2023-06-26 10:53:29",,POLO MC SLIM DIFERENCIADA THRILLS,"3035E2C81C2B3600000000D9",,"120684-001","110",G,"245",
"2449","01000066816804000688","668168","06-31-08","010465134-0","2023-06-26 10:53:43",,POLO MC SLIM DIFERENCIADA THRILLS,"3035E2C81C2B3600000000CF",,"120684-001","110",G,"245",
"2449","01000066816804000604","668168","06-31-08","010465134-0","2023-06-26 10:52:39",,POLO MC SLIM DIFERENCIADA THRILLS,"3035E2C81C2B3600000000C7",,"120684-001","110",G,"245",OK
"2449","01000066816804000751","668168","06-31-08","010465134-0","2023-06-26 10:52:53",,POLO MC SLIM DIFERENCIADA THRILLS,"3035E2C81C2B3600000000D6",,"120684-001","110",G,"245",OK
"2449","01000066816804000599","668168","06-31-08","010465134-0","2023-06-26 10:52:49",,POLO MC SLIM DIFERENCIADA THRILLS,"3035E2C81C2B3600000000C6",,"120684-001","110",G,"245",OK
"2449","01000066816804000272","668168","06-31-08","010465134-0","2023-06-26 10:53:11",,POLO MC SLIM DIFERENCIADA THRILLS,"3035E2C81C2B3600000000A6",,"120684-001","110",G,"245",OK
"2410","01000059711903000316","597119","02-46-11","010462063-0","2023-06-28 11:01:32",,TSHIRT O MC SLIM MDIFERENCIADA TRINY M PRETO,"3035E2C3F45640400000001F",,"102839-001","210",M,"59",
"2449","01000066816804000701","668168","06-31-08","010465134-0","2023-06-26 10:52:59",,POLO MC SLIM DIFERENCIADA THRILLS,"3035E2C81C2B3600000000D1",,"120684-001","110",G,"245",OK
"2410","01000060370804000826","603708","02-46-11","010462064-0","2023-06-28 11:01:32",,TSHIRT O MC SLIM SUBLIMADA TANNIS G BRANCO,"3035E2C81C035E400000027E",,"112025-001","201",G,"178",
"2449","01000066816804000824","668168","06-31-08","010465134-0","2023-06-26 10:52:56",,POLO MC SLIM DIFERENCIADA THRILLS,"3035E2C81C2B3600000000DD",,"120684-001","110",G,"245",OK
"2410","01000059887902000241","598879","02-46-11","010462057-0","2023-06-28 11:01:32",,TSHIRT O MC SLIM MCONFORTO NUT P PRETO,"3035E2C81C00640000000325",,"108975-001","210",P,"288",
"2449","01000066816804000793","668168","06-31-08","010465134-0","2023-06-26 10:52:36",,POLO MC SLIM DIFERENCIADA THRILLS,"3035E2C81C2B3600000000DA",,"120684-001","110",G,"245",OK
"2410","01000059711903000405","597119","02-46-11","010462063-0","2023-06-28 11:01:32",,TSHIRT O MC SLIM MDIFERENCIADA TRINY M PRETO,"3035E2C3F456404000000028",,"102839-001","210",M,"59",
"2410","01000059809501000048","598095","02-46-11","010462055-0","2023-06-28 11:01:32",,TSHIRT O MC SLIM MCONFORTO ANGUILLA PP VALE,"3035E2C81C00618000000236",,"111123-001","123",PP,"75",
"2410","01000059887301000048","598873","02-46-11","010462057-0","2023-06-28 11:01:32",,TSHIRT O MC SLIM MCONFORTO NUT PP PRETO,"3035E2C81C00640000000228",,"108101-001","210",PP,"207",
"2410","01000059860401000041","598604","02-46-11","010462055-0","2023-06-28 11:01:32",,TSHIRT O MC SLIM MCONFORTO ANGUILLA PP NOZES,"3035E2C81C0061800000027A",,"111123-001","225",PP,"75",
"2410","01000059711903002300","597119","02-46-11","010462063-0","2023-06-28 11:01:32",,TSHIRT O MC SLIM MDIFERENCIADA TRINY M PRETO,"3035E2C3F45640400000041A",,"111124-001","210",M,"224",
"2410","01000059886901000078","598869","02-46-11","010462057-0","2023-06-28 11:01:32",,TSHIRT O MC SLIM MCONFORTO NUT PP NOZES,"3035E2C81C00640000000292",,"108975-001","225",PP,"288",
"2410","01000061251501000134","612515","02-46-11","010462092-0","2023-06-28 11:01:32",,TSHIRT O MC SLIM MPENTEADA HEAR PP MINERAL,"3035E2C81C04A280000003F6",,"110967-001","950",PP,"359",
"2410","01000059711903000227","597119","02-46-11","010462063-0","2023-06-28 11:01:32",,TSHIRT O MC SLIM MDIFERENCIADA TRINY M PRETO,"3035E2C3F456404000000016",,"102839-001","210",M,"59",
"2410","01000059711903001728","597119","02-46-11","010462063-0","2023-06-28 11:01:32",,TSHIRT O MC SLIM MDIFERENCIADA TRINY M PRETO,"3035E2C3F4564040000002B1",,"108978-001","210",M,"334",
"2410","01000059711903002033","597119","02-46-11","010462063-0","2023-06-28 11:01:32",,TSHIRT O MC SLIM MDIFERENCIADA TRINY M PRETO,"3035E2C3F4564040000002D0",,"108978-001","210",M,"334",
