"usuario","codbarrastag","codreduzido","Endereco","engenharia","DataReposicao","EngenhariaPai","descricao","epc","StatusEndereco","numeroop","cor","tamanho","totalop","situacaoinventario"
"9002","01000065083003000249","650830","01-58-02","010243046-0","2023-06-28 22:02:47",,TSHIRT O MC S SLIM MCONF GEOGRAFIC CB M MESCLA,"3035E2C81C202D8000000018",,"112517-001","248-MESCLA",M,"49",OK
"9002","01000065083003000451","650830","01-58-02","010243046-0","2023-06-28 22:02:47",,TSHIRT O MC S SLIM MCONF GEOGRAFIC CB M MESCLA,"3035E2C81C202D800000002D",,"112517-001","248-MESCLA",M,"49",OK
"9002","01000065083003000168","650830","01-58-02","010243046-0","2023-06-28 22:02:47",,TSHIRT O MC S SLIM MCONF GEOGRAFIC CB M MESCLA,"3035E2C81C202D8000000010",,"112517-001","248-MESCLA",M,"49",OK
"9002","01000065083003000574","650830","01-58-02","010243046-0","2023-06-28 22:02:47",,TSHIRT O MC S SLIM MCONF GEOGRAFIC CB M MESCLA,,,,"248-MESCLA",M,"0",OK
"9002","01000065083003000566","650830","01-58-02","010243046-0","2023-06-28 22:02:47",,TSHIRT O MC S SLIM MCONF GEOGRAFIC CB M MESCLA,"3035E2C81C202D800000003C",,"118379-001","248-MESCLA",M,"44",OK
"9002","01000065083003000273","650830","01-58-02","010243046-0","2023-06-28 22:02:47",,TSHIRT O MC S SLIM MCONF GEOGRAFIC CB M MESCLA,"3035E2C81C202D800000001B",,"112517-001","248-MESCLA",M,"49",OK
"9002","01000065083003000346","650830","01-58-02","010243046-0","2023-06-28 22:02:47",,TSHIRT O MC S SLIM MCONF GEOGRAFIC CB M MESCLA,"3035E2C81C202D8000000022",,"112517-001","248-MESCLA",M,"49",OK
"9002","01000065083203000047","650832","01-58-02","010243046-0","2023-06-28 22:02:47",,TSHIRT O MC S SLIM MCONF GEOGRAFIC CB M PRETO,"3035E2C81C202D800000004B",,"118379-001","210-PRETO",M,"44",OK
"9002","01000065083003000184","650830","01-58-02","010243046-0","2023-06-28 22:02:47",,TSHIRT O MC S SLIM MCONF GEOGRAFIC CB M MESCLA,"3035E2C81C202D8000000012",,"112517-001","248-MESCLA",M,"49",OK
"9002","01000065083003000215","650830","01-58-02","010243046-0","2023-06-28 22:02:47",,TSHIRT O MC S SLIM MCONF GEOGRAFIC CB M MESCLA,"3035E2C81C202D8000000015",,"112517-001","248-MESCLA",M,"49",OK
"2407","01000063606804001361","636068","09-08-20","010241801-0","2023-06-20 10:50:17",,KIT 3 CUECAS SLIP COLORS G 248/410/216,"3035E2C81C18628000000509",,"120840-001","1236",G,"174",
"2499","01000063606804000933","636068","09-08-20","010241801-0","2023-06-14 17:05:06",,KIT 3 CUECAS SLIP COLORS G 248/410/216,"3035E2C81C1862800000038B",,"119119-001","1236",G,"55",
"2410","01000065649603000213","656496","02-39-14","010243509-0","2023-06-27 12:02:59",,SHORT ELASTICO LINHO WAS G PRETO,"3035E2C81C2368C00000018D",,"119366-001","210",G,"18",OK
"2449","01000066922104000044","669221","06-75-07","010465117-0","2023-06-30 08:33:43",,POLO MC SLIM PIQUET  ROW G MELAO,"3035E2C81C25EE000000009F",,"121413-001","203",G,"112",OK
"2449","01000066922104000191","669221","06-75-07","010465117-0","2023-06-30 08:33:51",,POLO MC SLIM PIQUET  ROW G MELAO,"3035E2C81C25EE00000000AE",,"121413-001","203",G,"112",OK
"2449","01000066922104000094","669221","06-75-07","010465117-0","2023-06-30 08:33:48",,POLO MC SLIM PIQUET  ROW G MELAO,"3035E2C81C25EE00000000A4",,"121413-001","203",G,"112",OK
"2449","01000066922104000052","669221","06-75-07","010465117-0","2023-06-30 08:33:55",,POLO MC SLIM PIQUET  ROW G MELAO,"3035E2C81C25EE00000000A0",,"121413-001","203",G,"112",OK
